fold,accuracy,auc,loss,precision,recall
1,0.2580,0.5000,0.4471,0.3078,0.2829
2,0.2607,0.5000,0.4450,0.2761,0.5120
3,0.2606,0.5000,0.4451,0.2762,0.5120
4,0.2568,0.5000,0.4472,0.2788,0.5122
